path,line,signature
com/google/gson/stream/JsonReader.java,574,
com/google/gson/stream/JsonReader.java,584,
com/google/gson/stream/JsonWriter.java,325,"com.google.gson.stream$JsonWriter.open(int,String)"
com/google/gson/stream/JsonWriter.java,418,com.google.gson.stream$JsonWriter.value(String)
com/google/gson/stream/JsonWriter.java,435,com.google.gson.stream$JsonWriter.jsonValue(String)
com/google/gson/stream/JsonWriter.java,454,com.google.gson.stream$JsonWriter.nullValue()
com/google/gson/stream/JsonWriter.java,466,com.google.gson.stream$JsonWriter.value(boolean)
com/google/gson/stream/JsonWriter.java,483,com.google.gson.stream$JsonWriter.value(double)
com/google/gson/stream/JsonWriter.java,495,com.google.gson.stream$JsonWriter.value(long)
com/google/gson/stream/JsonWriter.java,518,com.google.gson.stream$JsonWriter.value(Number)
com/google/gson/stream/JsonWriter.java,613,com.google.gson.stream$JsonWriter.beforeValue(boolean)
com/google/gson/stream/JsonWriter.java,622,com.google.gson.stream$JsonWriter.beforeValue(boolean)
